CustomerID,Name,Email,PhoneNumber,InvoiceAmount,InvoiceDate,DueDate,PaymentDate,AvgOrders60Days,RemindersCount,CreditLimit,CreditUsed
CUST001,Acme Corporation,acme@example.com,+1-555-0101,45000,2024-10-01,2024-10-31,2024-11-15,18.5,1,100000,45000
CUST002,GlobalTech Industries,globaltech@example.com,+1-555-0102,78500,2024-09-15,2024-10-15,2024-12-10,3.2,4,80000,75000
CUST003,Sunrise Retail,sunrise@example.com,+1-555-0103,12300,2024-11-01,2024-12-01,2024-12-02,25.0,0,50000,12000
CUST004,Pacific Traders,pacific@example.com,+1-555-0104,156000,2024-08-01,2024-09-01,,2.0,5,150000,148000
CUST005,Mountain View LLC,mountainview@example.com,+1-555-0105,8900,2024-11-15,2024-12-15,2024-12-10,22.5,0,30000,8000
CUST006,Delta Manufacturing,delta@example.com,+1-555-0106,67800,2024-10-10,2024-11-10,2024-11-25,8.5,2,100000,68000
CUST007,Coastal Imports,coastal@example.com,+1-555-0107,234000,2024-07-01,2024-08-01,,1.5,6,200000,195000
CUST008,Summit Solutions,summit@example.com,+1-555-0108,5600,2024-11-20,2024-12-20,2024-12-18,30.0,0,25000,5000
CUST009,Valley Enterprises,valley@example.com,+1-555-0109,89000,2024-09-01,2024-10-01,2024-10-05,15.0,1,120000,85000
CUST010,Northern Logistics,northern@example.com,+1-555-0110,43500,2024-10-20,2024-11-20,2024-12-15,6.5,3,80000,72000
CUST011,Eastern Supplies,eastern@example.com,+1-555-0111,28900,2024-11-05,2024-12-05,2024-12-08,19.0,0,60000,28000
CUST012,Western Distribution,western@example.com,+1-555-0112,112000,2024-08-15,2024-09-15,,4.0,4,100000,98000
CUST013,Central Services,central@example.com,+1-555-0113,7200,2024-11-25,2024-12-25,2024-12-20,28.0,0,20000,7000
CUST014,Premier Holdings,premier@example.com,+1-555-0114,345000,2024-06-01,2024-07-01,,0.5,7,300000,295000
CUST015,Atlantic Partners,atlantic@example.com,+1-555-0115,18900,2024-11-10,2024-12-10,2024-12-09,21.0,0,40000,18000
CUST016,Midwest Manufacturing,midwest@example.com,+1-555-0116,56700,2024-10-05,2024-11-05,2024-11-20,10.5,2,90000,58000
CUST017,Southern Trading,southern@example.com,+1-555-0117,98700,2024-09-20,2024-10-20,,7.0,3,100000,92000
CUST018,Crown Industries,crown@example.com,+1-555-0118,4500,2024-11-28,2024-12-28,2024-12-26,35.0,0,15000,4000
CUST019,Diamond Corp,diamond@example.com,+1-555-0119,187000,2024-07-15,2024-08-15,,3.5,5,180000,175000
CUST020,Elite Services,elite@example.com,+1-555-0120,23400,2024-11-12,2024-12-12,2024-12-11,17.5,0,50000,22000
CUST021,First Choice Ltd,firstchoice@example.com,+1-555-0121,67000,2024-10-08,2024-11-08,2024-11-12,12.0,1,100000,65000
CUST022,Golden Gate Co,goldengate@example.com,+1-555-0122,145000,2024-08-25,2024-09-25,,2.5,4,140000,138000
CUST023,Harbor Industries,harbor@example.com,+1-555-0123,9800,2024-11-22,2024-12-22,2024-12-21,26.0,0,35000,9000
CUST024,Imperial Trading,imperial@example.com,+1-555-0124,278000,2024-06-15,2024-07-15,,1.0,6,250000,248000
CUST025,Jupiter Enterprises,jupiter@example.com,+1-555-0125,15600,2024-11-08,2024-12-08,2024-12-06,20.0,0,45000,15000
CUST026,Kingston Corp,kingston@example.com,+1-555-0126,78900,2024-09-30,2024-10-30,2024-11-15,9.0,2,100000,80000
CUST027,Liberty Holdings,liberty@example.com,+1-555-0127,54300,2024-10-15,2024-11-15,2024-11-18,14.0,1,80000,52000
CUST028,Metro Solutions,metro@example.com,+1-555-0128,123000,2024-08-10,2024-09-10,,5.5,3,120000,115000
CUST029,Neptune Inc,neptune@example.com,+1-555-0129,6700,2024-11-26,2024-12-26,2024-12-24,32.0,0,22000,6500
CUST030,Omega Partners,omega@example.com,+1-555-0130,89500,2024-09-12,2024-10-12,2024-10-25,11.0,2,110000,88000
CUST031,Phoenix Group,phoenix@example.com,+1-555-0131,34500,2024-10-28,2024-11-28,2024-12-05,16.0,1,60000,33000
CUST032,Quantum Tech,quantum@example.com,+1-555-0132,198000,2024-07-20,2024-08-20,,4.2,5,190000,185000
CUST033,Royal Industries,royal@example.com,+1-555-0133,11200,2024-11-18,2024-12-18,2024-12-17,23.5,0,38000,10500
CUST034,Stellar Corp,stellar@example.com,+1-555-0134,267000,2024-06-25,2024-07-25,,0.8,7,260000,255000
CUST035,Titan Enterprises,titan@example.com,+1-555-0135,19800,2024-11-06,2024-12-06,2024-12-04,18.0,0,48000,18500
CUST036,United Trading,united@example.com,+1-555-0136,72400,2024-10-02,2024-11-02,2024-11-08,13.5,1,95000,70000
CUST037,Victory Holdings,victory@example.com,+1-555-0137,56800,2024-10-18,2024-11-18,2024-12-01,8.0,2,85000,58000
CUST038,Westward Inc,westward@example.com,+1-555-0138,134000,2024-08-05,2024-09-05,,6.0,4,130000,125000
CUST039,Xenon Solutions,xenon@example.com,+1-555-0139,8400,2024-11-24,2024-12-24,2024-12-23,29.0,0,28000,8000
CUST040,Yankee Corp,yankee@example.com,+1-555-0140,95600,2024-09-08,2024-10-08,2024-10-20,10.0,2,105000,93000
CUST041,Zenith Partners,zenith@example.com,+1-555-0141,41200,2024-10-22,2024-11-22,2024-11-25,15.5,1,70000,40000
CUST042,Alpha Systems,alphasys@example.com,+1-555-0142,167000,2024-07-28,2024-08-28,,3.0,5,160000,158000
CUST043,Beta Technologies,betatech@example.com,+1-555-0143,14300,2024-11-14,2024-12-14,2024-12-13,24.0,0,42000,14000
CUST044,Gamma Industries,gamma@example.com,+1-555-0144,223000,2024-06-30,2024-07-30,,1.2,6,220000,215000
CUST045,Epsilon Corp,epsilon@example.com,+1-555-0145,17500,2024-11-09,2024-12-09,2024-12-07,19.5,0,46000,17000
CUST046,Zeta Holdings,zeta@example.com,+1-555-0146,83200,2024-09-25,2024-10-25,2024-11-10,9.5,2,100000,82000
CUST047,Eta Solutions,eta@example.com,+1-555-0147,48700,2024-10-12,2024-11-12,2024-11-14,14.5,1,75000,47000
CUST048,Theta Trading,theta@example.com,+1-555-0148,178000,2024-08-01,2024-09-01,,4.5,4,170000,165000
CUST049,Iota Enterprises,iota@example.com,+1-555-0149,7900,2024-11-27,2024-12-27,2024-12-25,31.0,0,24000,7500
CUST050,Kappa Corp,kappa@example.com,+1-555-0150,102000,2024-09-05,2024-10-05,2024-10-18,11.5,2,115000,100000
CUST051,Lambda Industries,lambda@example.com,+1-555-0151,29800,2024-10-30,2024-11-30,2024-12-03,17.0,1,55000,28500
CUST052,Mu Holdings,mu@example.com,+1-555-0152,189000,2024-07-10,2024-08-10,,3.8,5,180000,175000
CUST053,Nu Partners,nu@example.com,+1-555-0153,10500,2024-11-19,2024-12-19,2024-12-18,25.5,0,36000,10000
CUST054,Xi Trading,xi@example.com,+1-555-0154,256000,2024-06-20,2024-07-20,,0.9,6,250000,245000
CUST055,Omicron Corp,omicron@example.com,+1-555-0155,21300,2024-11-11,2024-12-11,2024-12-10,20.5,0,52000,20500
CUST056,Pi Enterprises,pi@example.com,+1-555-0156,69500,2024-10-06,2024-11-06,2024-11-10,12.5,1,90000,68000
CUST057,Rho Solutions,rho@example.com,+1-555-0157,51200,2024-10-19,2024-11-19,2024-11-28,8.5,2,78000,52000
CUST058,Sigma Industries,sigma@example.com,+1-555-0158,156000,2024-08-08,2024-09-08,,5.0,4,150000,145000
CUST059,Tau Holdings,tau@example.com,+1-555-0159,9100,2024-11-23,2024-12-23,2024-12-22,27.5,0,32000,8800
CUST060,Upsilon Corp,upsilon@example.com,+1-555-0160,87300,2024-09-18,2024-10-18,2024-10-28,10.5,2,100000,86000
CUST061,Phi Partners,phi@example.com,+1-555-0161,38900,2024-10-25,2024-11-25,2024-11-27,16.5,1,65000,38000
CUST062,Chi Trading,chi@example.com,+1-555-0162,212000,2024-07-05,2024-08-05,,2.8,5,200000,195000
CUST063,Psi Enterprises,psi@example.com,+1-555-0163,13100,2024-11-16,2024-12-16,2024-12-15,22.5,0,40000,12500
CUST064,Aurora Corp,aurora@example.com,+1-555-0164,298000,2024-06-10,2024-07-10,,0.6,7,280000,275000
CUST065,Blaze Industries,blaze@example.com,+1-555-0165,16200,2024-11-07,2024-12-07,2024-12-05,21.5,0,44000,16000
